gene_name	DAY0_001	DAY0_002	DAY0_003	DAY0_004	DAY0_005	DAY2_001	DAY2_002	DAY2_003	DAY2_004	DAY2_005	DAY4_001	DAY4_002	DAY4_003	DAY4_004	DAY4_005	DAY6_001	DAY6_002	DAY6_003	DAY6_004	DAY6_005	DAY8_001	DAY8_002	DAY8_003	DAY8_004	DAY8_005
Efnb2	68.2	10.48	30.22	5.51	137.52	1.71	14.11	18.47	3.51	20.34	6.51	9.31	2.99	0.17	1.24	0	0.64	0	0	0	0	3.55	0	0	1.69
Stk16	0	191.88	76.15	0	178.22	203.39	33.51	3.52	81.72	178.47	95.73	36.02	28.72	0	13.84	1.18	26.53	127.67	239.66	155.9	74.5	100.64	105.96	0	246.06
Adk	0.63	0	2.67	83.91	0	0.09	61.99	0	22.16	19.68	23.37	2.36	0.08	0.21	6.9	108.98	50.39	181.9	53.28	6.5	32.13	2.26	11.01	21.89	0.36
Tor2a	0	0	0	137.1	123.05	79.65	95.89	94.79	118.04	98.98	11.57	2.78	56.49	0	0	18.59	12.84	0	95.9	115.78	104.91	0	1.71	69.87	0
Ninj1	0	0	0	0	22.95	48.69	140.48	72.8	72.42	6.5	102.58	0	77.53	132.54	0	61.49	44.56	0.45	47.53	94.87	21.57	0.79	1.02	0	0
mt-Rnr1	561.96	1322.15	163.18	394.29	265.79	496.86	286.9	380.22	210.42	267.39	682.41	447.61	960.38	340.69	619.78	479.38	695.26	1447.48	307.11	463.42	678.02	649.87	523.11	110.67	198.77
Hmgn2	414.52	559.22	160.7	417.55	428.92	1204.48	961.01	1239.68	1479.16	1543.97	437.06	1064.34	443.26	222.79	384.39	726.33	1283.35	921.33	1102.84	1339.96	774.92	686.24	734.78	526.97	448.11
Ywhaq	482.38	645.89	591.6	503.86	393.68	199.41	423.75	323.4	437.55	450.6	300.03	158.78	239.54	205.78	197.86	548.44	422.17	295.75	522.64	985.34	24.62	174.04	307.51	43.51	336.5
Gm12918	36.6	84.6	44.14	49.9	31.16	160.76	108.22	159.4	152.08	152.75	292.84	302.17	191.62	104.69	137.87	161.26	125.56	121.32	134.12	121.39	141.59	131.5	117.09	114.6	79.44
Hsd17b10	66.47	0.8	34.63	108.8	0	86.36	131.65	133.72	165.55	35.23	52.96	39.02	95.31	37.91	26.7	68.45	0	12.39	42.77	186.24	109.11	18.73	27.82	0	0
Ttpa	0	0	11.92	1.87	112.11	111	37.99	1.16	51.29	43.8	8.58	91.46	87.97	56.08	181.65	97.19	18.05	0	0.55	12.46	200.53	0.13	1.28	0	0
Wipf1	35.42	62.34	105.31	52.86	2.39	14.95	14.8	5.09	0.14	8.41	7.71	0.57	0.26	0.37	3.22	0.62	45.61	1.05	4.6	24.06	77.31	0	0	0	13.23
1110007C09Rik	0	0	0	0	0	5.75	33	16.33	63.74	98.15	0	26.42	4.89	1.17	0	45.79	19.42	0	0	0	0	0	5.13	0	53.87
Elmo1	68.75	46.83	30.6	25.44	0.66	17.68	140.65	61.69	62.89	14.13	280.43	343.24	208.16	216.34	102.53	52.38	134.27	270.14	82.58	170.91	140.1	69.99	202.05	206.59	74.18
Ednrb	0.1	0.49	98.97	53.65	4.02	0.08	0	0	2.53	0	0	0	0	0	0	0	0	0	44.47	1.27	0	0	0	0	0
Mrps14	0	24.88	37.02	21.08	38.08	48.81	27.34	32.77	77.62	72.63	9.99	26.01	23.88	0	30.58	125.68	0	0	6.6	15.63	44.98	59.44	30.45	24.96	22.21
Gnb2l1	1194.17	2355.81	1582.94	1456.85	994.28	4534.15	2619.26	3430.76	2750.64	3524.98	2057.15	3153.61	1836.47	2207.69	1298.82	4371.33	3127.4	4017.46	3449.38	2701.38	2695.92	3750.3	3027.61	3642.43	2849.83
Dtx3l	0	0	0	0	0	0.04	1.58	0	2.32	3.05	0	1.13	2.88	0	1.43	0.7	2.42	0.54	18.81	58.55	0	8.11	1.52	1.27	2.73
Golt1b	0	5.51	0.23	48.62	0	18.31	10.96	13.35	7.61	13.72	7.44	21.58	17.08	6.15	0	1.84	1.87	0	7.33	0.6	55.3	23.59	27.34	0	0
Ifngr1	125.58	99.92	105.18	5.95	0	109.91	109.94	17.16	74.17	17.8	22.13	19.14	216.58	0	14.47	364.74	91.73	275.3	146.89	0	0.11	262.69	214.53	1.13	56.95
Gm11209	0	0.1	0.42	0.89	12.77	0	0.04	0.14	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppia	2055.3	2114.87	707.28	1123.92	768.06	2691.47	3278.24	3174.58	3819.19	3844.75	1196.23	1341	1259.6	1248.38	1270.33	1849.24	2039.24	450.17	1712.15	2180.63	2216.48	987.08	1513.03	1381.57	1820.82
Cercam	0	0	0.02	0.04	0	4.36	2.19	0.78	16.84	3.9	20.56	0	1.87	0	1.45	13.49	0	0.16	1.06	0	0.55	0	15.88	22.31	29.92
Ltb	0	0	0	0	0	154.85	0	0	24.04	0	2.1	15.86	40.22	45.13	68.17	0	32.48	29.8	0.87	23.55	66.54	170.91	76.94	53.04	141.31
Gm8730	10.76	15.68	8.93	9.91	6.61	29.29	13.9	17.93	18.31	15.37	52.02	31.7	17.98	25.36	19.18	27.92	49.1	22.95	28.57	31.2	29.96	24.1	40.56	24.86	11.62
Rfxank	0	0	0	3.94	0	0	0.07	5.18	4.08	7.26	0	0	5.25	0	0	8.62	0	21.93	0	0	12.83	7.29	0	0	0
Diap2	0.5	0.12	0.18	8.85	0.48	0.06	8.43	10.95	0.04	0	23.53	4.62	6.03	0.24	2	6.01	1.5	8.3	0	0	27.88	0	0.1	0.14	1.69
Spn	0	0	0	0	3.47	24.73	0.86	4.45	0.71	2.06	1.14	5.11	49.3	0	3.49	6.2	9.57	20.05	3.07	4.95	0	0.1	15.23	21.22	0
Tspan15	64.22	2.87	1.79	22.17	0	0	0	0	0	0	0	4.68	0	0	0	0	0	0	0	0	0	0	0	0	0
Ica1	1.39	2.97	29.01	82.1	0	64.45	48.96	35.68	36.27	71.58	0.02	82.73	0.02	0.43	135.32	0.95	10.71	0.28	109.05	0.01	151.67	37.71	1.3	215.41	126.6
Ethe1	0	0	0	6.09	0	30.41	0	0	36.29	39.73	0	0	2.75	0	0	42.07	34.41	0	82.7	0.31	0	33.64	14.93	0	28.41
Gnai2	358.22	127.85	162.56	78.62	140.76	158.26	224.48	104.25	128.27	120.79	225	73.1	160.38	77.82	190.18	229.9	87.5	64.94	97.67	89.14	134.54	176.99	152.04	124.66	163.34
Derl1	29.02	51.29	26.78	2.12	140.56	3.75	38.89	28.01	52.71	21.32	29.48	116.23	9.99	66.79	10.76	44.42	4.34	105.69	4.3	1.86	150.03	46.92	32.77	3.67	8.31
Arf3	78.4	0	24.51	0.06	35.57	27.65	99.26	20.07	64.59	14.25	67.15	6.01	98.38	6.63	41.17	47.03	49.8	5.88	30.45	2.79	133.6	7.08	67.19	28.66	32.13
Sh3glb1	32	53.28	25.43	28.76	56.92	22.97	15.47	11.93	13.95	2.7	0.28	5.76	0.66	13.33	0	93.23	3.97	7.09	24.79	0	0	8.33	1.52	3.75	16.1
Vdr	0	0	0	0	0	20.35	15.48	10.44	3.7	8.67	9.18	13.56	21.01	17.78	0	0.86	8.9	0	0	0	0	13.87	5.48	1.15	0.02
Tnfaip3	0	0	1.18	0	0	5.71	0.06	0.41	0.23	0.08	79.4	0.35	56.92	0.34	14.98	27.68	0	0.1	0	0	0	0	25.48	4.32	27.04
Ercc8	0	9.84	0	1.54	0	0	2.27	0	17.66	10.21	0	0	0	0	0	0.21	2.2	0.23	0	0	0	0.21	103.23	0	0
Zbed4	39.04	0.23	57.17	16.28	0	25.5	12.95	18.04	12.03	8.37	32.98	7.19	30.78	0	27.81	19.73	21.02	29.81	4.74	21.5	81.02	1.23	24.89	12.12	20.13
Ddx27	0	0	34.69	31.62	0	4.51	6.57	8.37	7.04	19.45	23.24	55.91	50.79	97.41	17.96	0	59.26	36.29	5.39	72.04	0	0	54.05	15.06	70.5
Cyth4	0	0	0	0	0	1.07	100.51	2.61	47.43	2.57	41.72	66.55	20.21	0	4.22	0	1.31	13.06	37.49	54.77	1.06	0.28	21.82	0.21	0.77
Smn1	0	0	57.39	0	0	0.07	7.34	23.84	44.58	20.32	41.44	15.61	49.32	59.65	17.08	31.45	41.99	116.68	9.14	9.38	11.96	11.24	93.76	0	19.5
Elac2	0	1.12	6.14	14.39	2.05	27.14	0.18	76.81	16.62	17.89	29.99	7.03	1.76	8.61	0.91	6.71	36.04	38.56	10.45	0	0	1.73	0.2	4.35	0
Gm13139	12.76	1.48	0.95	15.04	0	12.82	14.28	1.21	36.83	7.24	19.14	10.58	87.15	116.61	151.26	13.16	17.05	3.81	27.25	0.99	13.03	46.29	69.71	34.18	0.29
Trpc3	0	1.55	176.78	172.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12924	3.52	0	0	93.71	0	0	0	11.05	0	0	0	0	0	53.13	81.62	47.6	35.01	0	0	0	0	0	0	0	0
Oasl2	0	0	0	0	10.85	0.34	0	0	0	3.12	0	0.4	132.79	0	5.6	68.63	128.87	117.02	32.08	2.59	0	267.34	18.82	16.63	45.82
Gm10184	22.6	0.87	4.69	45.17	0.14	0.06	2.59	63.73	0.27	3.23	8.21	0	1.24	10.25	10.74	3.83	14.05	0	0.28	0	5.92	0	0	0.1	23.6
Klhl23	48.95	0	10.59	0.52	0	0	30.07	8.52	18.34	23.67	1.37	11.97	16.38	35.79	44.85	0.09	72.71	0	0.33	38.4	50.63	89.69	50.17	0	0
Acd	0	22.26	33.66	18.59	122.61	122.55	76.15	47.17	89.97	41.22	9.87	20.71	48.11	0	9.5	60.63	0	109	7.58	73.39	54.37	176	80.75	0	122.78
Myo9b	0.49	1.04	4.92	0	0	0.26	12.22	9.72	8.72	8.53	36.66	18.89	13.95	20.97	0.32	15.13	26.09	0.11	36.75	3.34	13.4	9.68	2.71	0.86	0
Gstt2	0	0	0	0	0	0	0	32.63	26.24	14.66	0	0	0	0	0	43.86	0.33	1.38	0	0	13.5	13.42	0	33.62	64.92
Nucb1	0.64	3.5	43.48	36.71	53.7	31.22	17.8	43.66	30.42	10.87	72.64	154.57	11.84	5.95	170.47	1.08	1.18	4.1	283.44	1.4	70.55	8.94	11.13	57.7	102.89
Gm4609	11.62	14.76	13.74	16.43	8.68	25.33	29.83	12.83	25.77	21.05	14.12	6.99	4.85	7.08	4	16.7	24.86	10.13	20.77	34.54	14.1	8.72	12.84	8.38	6.73
Tada2a	0	0	0	8.46	0	21.79	51.84	0	32.83	18.64	46.74	0	0	214.89	0	0.51	91.72	62.29	17.32	0	34.48	0	32.71	17.9	40.74
Tkt	0	1.39	42.92	31.37	11.16	52.99	88.6	59.57	129.22	70.78	38.41	16.87	8.75	6.02	11.12	265.32	55.3	0.26	120.11	92.34	66.46	33.76	59.85	15.02	125.44
Dock2	0	0	0	0.09	0	11.15	38.29	11.37	11.02	2.07	45.07	19.48	41.34	27.92	6.19	25.19	50.96	107.9	40.5	43.24	29.47	150.88	69.77	76.21	88.52
Samhd1	0	1.37	41.8	6.7	0.28	12.17	1.43	3.15	7.33	29.54	43.04	0.78	10.42	22.18	122.95	193.31	84.88	160.49	109.58	18.05	2.39	193.96	18.35	9.15	0
Ccndbp1	23.28	0	153.68	1.54	0	59.76	0	13.7	106.5	6.61	158.98	0	6.64	79.54	0	13.06	72.23	0.29	0.87	69.83	0	0	87.03	28.32	0
Npdc1	319.61	64.69	27.32	13.97	66.83	0	63.82	29.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Raf1	0	53.17	10.82	18.42	15.09	12.64	49.27	5.9	37.46	32.21	58.64	65.16	26.38	43.45	19.52	9.74	13.58	10.87	15.79	5.89	0.36	0.13	4.72	59.96	3.45
Lyz2	0	0	0	0.2	0	144.26	530.12	71.09	100.55	0.32	428.12	94.52	108.96	1.32	281.41	89.66	361.66	797.03	250.65	0.37	128.84	420.38	561.12	270.39	330.79
Rps16	624.09	1278.04	720.37	880.29	312.25	2289.7	1833.6	2298.6	2550.88	2046.96	1237.78	1396.26	1326.03	935.97	777.45	2026.66	1340.73	1358.74	1235.07	1097.63	1511.14	1471.9	1530.24	895.96	1560.11
Coa3	0.53	6.26	33.13	1.26	0	37.6	66.56	39.99	53	30.81	0	7.4	7.75	0	1.06	119.49	30.59	0	50.42	0	43.08	1.56	0	0	10.21
Rhbdf1	0	151.71	10.53	9.01	75.86	2.33	29.93	49.45	15.49	30.97	0	139.74	30.86	0	0.56	0	0	0	0	0	0	0	0	0	123.51
Slc50a1	0	0	0	0	0	54.09	26.18	74.64	55.52	21.7	7.16	0	0	0	92.86	144.48	65.71	16.36	24.68	0	76.55	5.9	60.48	144.92	8.25
Gpx4	107.03	264.41	219.01	14.67	385.59	436.18	555.34	437.11	465.44	344.12	156.76	76.57	219.56	116.98	111.17	267.66	167.56	1.22	132.31	186.47	410.01	303.45	219.25	24.8	244.31
Carhsp1	0.27	147.25	75.35	2.36	63.16	4.17	9.06	26.81	31.63	31.64	2.15	0	6.22	1.85	4.12	0	0	0	0	30.54	45.07	2.16	0	0	0
Colec12	0	47.5	0.26	1.42	0.93	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sox7	287.14	18.8	50.94	46.97	270.93	0.4	74.71	119.9	0	0	0.22	84.88	0	37.73	0	0	0	0.13	0	0	0	0	59.62	0	2.26
Gm8399	56.15	37.29	43.8	32.76	10.73	33.16	10.83	16.03	42.22	58.05	15.12	30.08	10.49	22.29	66.15	50.34	43	20.31	35.28	34.2	29.25	1.27	3.31	7.47	19.67
Ptms	30.34	20.52	0.66	0	16.4	25.95	0	29.25	4.74	34.17	84.17	58.06	1.86	27.42	20.69	0	0	0	6.68	0	0	0.38	0	0	0
Chchd4	0.35	34.3	0	0.81	0	76.74	49.8	45.9	50	40.31	0	0	0	8.07	0.7	0	152.78	0	62.77	0	123.55	0	20.71	0	0
Lrrc32	5.01	8.79	52.99	43.5	0	30.85	22.97	4.2	19.78	1.83	4.83	26.44	0	0.39	5.44	0	0	0	0.81	0	0	0	0.14	0	0
Fam181b	0	0	0	0	0.3	0	66.62	26.13	7.38	110.29	16	15.93	17.62	1.29	6.22	0	3.7	0.25	0	20.44	0	15.04	1.27	22.78	22.88
Phka2	0	0.53	0	0.69	0	26.25	0.02	13.64	23.55	17.51	31.18	0.93	5.18	6.74	7.23	0	8.99	1.56	0.26	0	12.36	84.57	3.49	158.18	73.95
Rpsa-ps2	12.93	10.56	20.81	11.28	3.14	39.09	23.08	19	18.84	12.41	37.01	32.82	15.97	18.94	42.87	21.23	50.85	28.02	21.39	19.95	21.55	20.63	14.21	13.15	22.59
Ramp2	103.07	203.26	363.26	250.59	779.16	223.53	174.08	533.13	150.23	388.93	0	108.16	19.14	65.65	17.01	39.96	107.94	0	68.6	5.88	43.2	0	18.68	7.12	0
Actg1	3543.92	2787.02	3342.47	2074.93	1068.55	2535.87	973.11	1842.29	4241.62	5609.01	849.07	1933.77	1247.17	1373.67	4213.32	3373.62	2120.73	1442.07	2378.49	2526.66	2968.06	120.48	225.84	954.92	1534.3
Gm10116	43.65	45.94	42.38	30.45	35.74	61.81	73.25	82.03	66.84	70.25	42.35	59.65	29	25.84	47.85	63.78	51.25	52.66	41.11	74.83	32.53	31.17	22.54	25.9	51.92
Bcar1	153.71	61.66	96.23	42.89	6.97	0	0.26	0.23	0.11	27.51	0	0	0	0	22.55	0	0	0	0	0	0	0	0	0	0
Abcb7	31.4	6.79	3.22	44.68	0.02	7.33	7.72	10.37	2.36	8.84	36.45	19.45	24.95	0.72	42.64	35.15	5.99	72.65	4.29	3.18	14.12	20.84	22.12	60.96	42.08
Pebp1	108.86	167.36	52.3	119.17	251.52	387.74	654.73	397.3	562.12	404.13	236.92	363.04	208.93	261.09	419.96	172.25	446.61	338.76	380.61	231.19	130.6	557.63	157.96	144.75	208.23
Zfp322a	0	0.13	0	2.18	69.96	30.22	0.11	3.81	4.47	21.08	0	4.99	0	1.66	30.11	0	0	0	0	0.75	0	0	0	0	0
Pno1	3.48	238.62	0	0	0.37	2.53	63.4	61.21	138.32	55.39	19.5	5.39	0	55.88	97.98	32.6	27.18	111.21	63.17	0	104.72	0	0	115.34	81.78
Zfp9	0	42.34	1.94	3.15	113.9	0.12	0.02	0.04	0	9.82	0.1	0.13	0.24	0.19	0.23	0.1	5.97	0.09	0.18	0.1	0.04	0	0.02	0	2.52
Zdhhc6	0	40.16	79.18	20.17	7.54	84.1	12.86	6.64	57.41	16.79	85.39	0.35	35.11	0	1.83	2.33	21.94	0	22.03	0.07	5.76	15.59	71.41	14.51	34.91
Rps27	7.46	143.96	14.83	66.78	41.72	113.94	125.35	260.1	128.53	221.88	112.25	75.81	280.84	142.2	245.07	253.61	83.6	178.77	104.88	63.36	636.9	621.75	317.21	324.87	407.55
Rpl34	105.66	252.16	143.25	208	75.25	267.28	848.27	968.56	489.47	875.09	429.36	542.29	386.06	493.09	415.1	682.05	356.69	276.79	281.23	254.34	434.36	436.5	522.35	298.22	726.63
Cmas	0	139.21	2.38	48.84	35.67	81.01	88.31	101.49	83.71	27.31	35.62	124.25	70.98	83.3	45.25	167.56	103.85	154.06	182.38	31.53	50.61	108.66	120.25	22.96	2.56
Ppfibp1	22.23	28.51	81.47	42.64	0.75	0	32.96	26.07	2.89	11.79	106.94	10.59	30.29	47.32	94.62	0	38.67	0.09	0	0	0.02	0	30.36	29.17	4.68
Plagl1	519.92	446.48	425.22	193.67	238.94	128.07	62.45	74.37	94.79	132.94	46.06	52.96	53.17	45.75	0	0.16	5.25	0.23	0	0	0.95	51.79	12.72	0	0
Ece1	30.09	21.36	30.44	11.9	11.71	21.61	24.14	18.33	1.23	40.08	52.46	27.46	15.42	87.54	8.36	3.11	0.81	15.74	0	0.67	21.7	0.08	0.19	0.24	0
Igf2r	7.54	1.86	3.76	2.35	4.29	14.21	5.66	0.26	1.16	8.33	1.08	0.58	0.61	21.88	0.59	3.61	0.99	0	6.57	6.83	1.74	0	0.24	13.89	2.18
Abhd16a	100.3	0.74	0	0.13	143.78	10.32	58.89	15.07	33.95	27.86	33.92	9.97	0	0.43	8.53	0	50.41	96.21	103.39	81.26	51.63	33.48	3.56	0	0
Prkd1	0.8	0.01	0.76	0.01	1.56	28.45	24.54	2.52	3.35	0.03	23.26	15.99	13.81	55.74	0	0	0	0	0	0	0	0	0	0	0
Itga4	0	0	0	0.38	0	0.19	0	0.76	7.24	1.42	8.49	2.21	4.85	3	19.04	16.41	2.35	12.46	16.49	1.13	0.01	11.32	30.48	8.88	5.19
Gm6472	77.92	71.67	77.74	57.93	81.12	171.18	109.2	158.08	150.44	143.08	78.92	121.61	56.81	89.46	105.25	136.22	145.39	183.67	119.78	135.11	81.97	142.71	143.45	141.86	180.58
Plvap	43.56	80.12	68.29	33.52	22.67	10.19	16.44	13.41	0.87	27.41	12.21	11.58	22.71	15.45	0.4	0.03	3.33	0	17.83	0	0	0	0	0	0
Pdhx	82.43	0	0.27	69.07	53.69	28.16	5.51	23.62	43.53	0.02	0	0	20.16	0.3	0	0	23.62	2.23	129.38	0	27.55	0.15	0	19.93	156.14
Ormdl1	0	0	0	0	0	0.72	52.54	0	0	26.77	29.46	58.48	0	68.07	0	260.94	92.35	165.24	88.46	0.23	68.64	0	0	0	0
Gpx1	188.79	105.34	63.6	27.89	2.28	1316.86	1170.57	654.24	2408.07	2242.9	379.64	565.82	1017.95	171.9	759.5	564.28	721.05	1080.97	914.78	1602.26	1004.36	939.69	1097.38	816.82	1365.66
Man1c1	9.39	0	77.53	20.39	22.04	2.17	14.25	12.45	3.08	0	0.16	55.86	0.48	0.34	0	4.2	20.24	0.1	15.18	26.21	1.51	14.86	1.65	0.27	8.43
Pfdn5	89.92	191.37	14.65	45.94	0	86.38	214.29	147.23	205.14	187.3	97.23	395.4	57.44	129.49	36.62	48.75	105.79	146.97	271	16.71	51.74	27.64	5.8	101.85	56.1
Psmb9	0	0	0	0	0	1.08	0	0	0	0	0	0	0	0	0	2.88	1.81	1.76	0	0	15.87	7.43	12.6	26.04	0.19
Hipk3	24.91	2.8	5.43	6.26	31.92	19.21	28.12	15.11	16.93	30.46	0.19	21.77	31.61	13.97	19.18	28.09	33.34	0.25	3.75	9.58	10.68	70.6	0.79	24.17	61.56
Slco3a1	0.13	5.33	23.13	0	53.49	50.82	102.15	103.9	0.83	0.46	77.94	97.84	68.97	15.13	46.34	10.84	0	0.11	63.5	3.45	0.01	0	0	5.42	28.85
Pald1	0	66.08	107.74	1.03	30.19	0	26	8.28	0	11.07	0	0	0	0	0	0	0	0	0	11.09	0	0	0	0	0
Ppp1r18	7.84	133.4	23.31	32.31	0.42	74.01	41.06	47.43	50.28	176.89	16.87	16.87	32.06	11.75	10.96	2.72	59.32	107.88	216.94	35.15	13.21	37.5	16.9	26.66	163.5
Gm3362	17.94	32.15	8.56	12.81	5.35	41.1	36.61	38.1	28.33	41.9	48.8	30.85	36	31.87	42.53	27.7	43.07	39.19	31.71	37.24	39.36	44	58.84	48.62	47.83
Vamp8	0	59.51	72.64	0	23	194.5	64.22	91.62	185.57	108.33	16.28	46.8	79.13	29.61	65.59	34.42	37.83	70.23	65.03	102.74	54.72	65.02	117.44	237.15	161.47
Mob2	0	3.38	0	0	116.19	129.97	73.96	104.2	90.16	187.93	25.68	25.39	14.08	1.06	4.63	42.1	51.89	0.65	17.84	93.55	151.42	29.84	115.46	25.37	79.17
Qdpr	0	52.37	53.21	72.27	0	70.07	462.3	125.58	180.36	40.44	48.56	145.14	60.42	121.04	174.79	14.96	274.3	1.3	325.82	165.51	223.21	378.19	25.89	3.15	7.92
Dalrd3	0	0	54.35	0	97.64	118.68	175.62	140.26	70.24	57.53	0	460.81	0	167.7	0	264.76	154.26	6.75	8.65	0.96	3.6	47.21	116.07	37.93	228.34
Lef1	0	67.74	2.94	27.14	0	0	0	0	6.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fcho2	43.01	12.06	38.59	11.65	41.75	5.32	8.43	4.85	22.36	34.93	12.3	35.04	27.39	8.53	152.24	6.56	13.02	28.01	0.66	0.67	1.08	10.73	52.4	79.88	4.16
S100a10	181.13	152.17	83.98	5.43	116.39	18.41	96.16	58.72	47.7	111	87.48	2.62	25.64	0	80.77	2.63	22.06	60.24	177.87	40.72	5.67	13.24	82.92	80.94	5.17
Plekhg1	36.55	27.62	3.93	114.21	1.7	0	2.43	0	0.24	0.06	0.09	0	0	12.76	0.03	0	0	0	0	0	0	1.17	0	13.93	0
Rpl32	175.62	584.93	221.59	469.38	222.36	1300.13	1394.97	1801.6	1655.79	1647.97	749.86	681.03	689.05	885.07	817.39	1482.68	1152.59	1322.58	1283.14	770.73	1217.57	1358.5	1612.91	1023.8	1253.94
Hmga2	52.36	33.25	96.33	118.97	130.68	418.28	417.17	302.54	505.09	621.9	477.76	416.65	700.85	305.83	714.07	608.45	177.91	299.93	177.33	211.17	104.38	43.17	165.91	362.64	309.5
Robo4	68.61	20.45	164.06	136.21	0	27.92	7.55	12.34	0.18	0	0.38	50.83	14.16	0	118.24	0	103.61	31.17	0	49.02	27.33	32.04	1.19	0	102.71
1810011O10Rik	150.5	133.16	39.47	0	0	0	5.25	13.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbm38	0	0	8.24	0	0.32	0.79	25.92	16.99	28.52	34.76	4.56	2.31	26.76	6.26	0.46	1.74	0	24.26	3.04	1.55	21.03	27.56	12.07	17.53	19.93
Itgal	0	0	0	0.23	0	0	0	0.08	0.09	0	0	0	0	37.92	56.36	106.84	44.21	28.99	105.9	0.11	0	1.44	0	0	0
Arih2	8.33	67.24	1.47	1.86	0	73.02	2.63	55.9	29.99	84.32	79.66	11.45	75.71	1.13	1.89	12.61	3.26	40.91	0	81.59	55.46	114.26	51.68	9.56	0
Chrac1	0	0	0.94	6.42	0	1.13	57.99	42.68	74.09	58.47	0	118.91	21.13	0	3.25	0	0	0	0	0	0	27.12	3.17	89.36	0.75
Lonrf1	0.38	0.52	0	0	0	9.94	0	3.62	0	0	2.7	4.66	0	0	0.2	0	0	0	0	0	9.93	0.19	10.71	0	8.7
Fbxo33	0.11	0	0	0	21.4	20.89	2.62	7.03	15.97	16.7	35.44	15.51	66.56	5.24	49.89	0	17.02	0.09	49.42	118.74	28.72	8.09	36.69	2.03	0
Atp13a2	2.78	0	0	0	0.13	78.86	7.42	4.5	13.06	20.4	182.52	234.77	80.72	0	200.58	14.51	79.39	303.18	6.78	62.9	8.13	89.82	115.61	104.14	25.77
Kitl	252.03	92.72	49.04	0.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dennd4a	1.25	0	0.02	0.68	0	20.52	2.99	0.34	26.26	3.76	1.04	14.41	12.31	2.47	5.95	0.5	6.66	1.84	12.92	0.85	1.14	12.14	0.76	13.66	5.79
Bhlhb9	0	2.99	12.15	62.26	142.49	48.7	48.62	0.22	22.51	0.13	75.83	51.59	1.13	76.4	149.41	4.45	73.21	109.75	24.3	66.9	125.83	6.7	63.74	0	58.87
Tug1	4.32	54.53	7.21	55.58	111.16	14.15	43.13	54.31	63.59	44.37	40.99	53.69	81.29	39.62	24.98	74.12	61.17	222.53	60.63	36.24	51	59.41	63.5	7.23	30.47
Nudt9	50.33	25.38	65.67	21.75	34.89	74.6	0	56.3	4.71	38.82	0	0	97.8	0.55	1.13	63.38	56.18	0	42.64	42.07	51.73	0	0	0	0
Ppib	71.09	45.06	43	57.79	27.26	105.27	99.89	104.16	98.32	128.76	15.93	37.21	51.28	12.98	53.54	44.67	97.77	52.4	40.88	124.85	105.78	67.14	20.41	1.42	3.95
Fam63a	97.04	0	21.36	3.24	113.83	7.19	19.74	75.34	54.07	44.05	143.77	4	5.79	1.2	26.14	0	12.06	0	1.8	0	0.74	22.32	0	315.2	0
Gm8623	2.21	5.92	5.82	7.64	3.07	11.56	19.56	21.48	18.91	14.1	17.55	15.86	11.33	16.11	13.71	12.98	15.79	15.98	8.08	6.52	6.8	9.29	16.93	5.27	17.73
Stk17b	0	0	0	0	0	242.1	3.12	58.16	80.35	99.82	84	24.12	58.96	27.16	41.67	218.65	39.57	306.54	162.69	13.13	0	139.28	167.88	138.78	0
Ankrd13a	69.06	0	11.42	0.1	171.14	199.18	85.59	120.45	122.79	245.71	189.21	302.5	18.7	226.71	406.96	224.5	215.11	427.96	158.58	368.53	259.56	305	175.44	420.17	677.27
S1pr1	75.27	155.45	92.71	50.83	123.27	30.61	51.67	173.96	18.53	30.43	23.73	55.57	41.39	49.74	22.14	0	0.13	59.16	4.48	72.62	12.37	206.74	0.55	0	0.71
Angptl6	0	0	0	0	0	2.31	0.93	0	1.36	1.2	1.45	0	0.31	0	0	2.16	2.99	1.71	1.93	0	0	7.85	3.32	0.19	6.11
Anp32e	77.72	185.85	55.77	124.05	165.34	108.2	23.76	63.6	83.64	48.92	77.3	81.9	83.76	13.89	141	95.12	21.12	238.6	50.91	5.23	5.87	44.84	20.34	0.2	147.56
Coro1b	9.4	150.15	3.81	4.12	89.53	350.03	109.2	282.21	315.88	206.49	79.91	171.28	106.25	173.27	57.02	71.52	59.68	552.57	394.89	318.08	231.42	160.92	129.4	150.31	67.44
Snai1	0	73.19	0.43	20.26	0	15.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bub1b	0	3.81	0.02	147.23	0	0.09	18.27	73.41	0.87	48.04	9.68	19.85	0	10.61	0	30.33	0	0	0	0	0	0	0	0	0
Unc93b1	0	0	0	0	0	9.7	3.14	0	0	0	0	6.9	0	38.71	0.5	24.02	14.75	4.93	19.86	23.67	47.17	4.67	90.35	42.69	197.94
